电影名,评分,演员,链接,图片
电锯惊魂,8.7,雷·沃纳尔加利·艾尔维斯丹尼·格洛弗,https://movie.douban.com/subject/1417598/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565332644.jpg
喜宴,8.9,赵文瑄郎雄归亚蕾,https://movie.douban.com/subject/1303037/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173713676.jpg
教父3,8.9,阿尔·帕西诺黛安·基顿塔莉娅·夏尔,https://movie.douban.com/subject/1294240/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg
谍影重重3,8.8,马特·达蒙朱丽娅·斯蒂尔斯大卫·斯特雷泽恩,https://movie.douban.com/subject/1578507/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg
疯狂原始人,8.7,尼古拉斯·凯奇艾玛·斯通瑞恩·雷诺兹,https://movie.douban.com/subject/1907966/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg
哪吒闹海,9.1,梁正晖邱岳峰毕克,https://movie.douban.com/subject/1307315/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg
天书奇谭,9.2,丁建华毕克苏秀,https://movie.douban.com/subject/1428581/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg
心迷宫,8.7,霍卫民王笑天罗芸,https://movie.douban.com/subject/25917973/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg
真爱至上,8.6,休·格兰特科林·费尔斯艾玛·汤普森,https://movie.douban.com/subject/1292401/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg
萤火虫之墓,8.7,辰己努白石绫乃志乃原良子,https://movie.douban.com/subject/1293318/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1157334208.jpg
三块广告牌,8.7,弗兰西斯·麦克多蒙德伍迪·哈里森山姆·洛克威尔,https://movie.douban.com/subject/26611804/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg
纵横四海,8.8,周润发张国荣钟楚红,https://movie.douban.com/subject/1295409/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2272146906.jpg
我是山姆,8.9,西恩·潘达科塔·范宁米歇尔·菲佛,https://movie.douban.com/subject/1306861/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg
